id,nombre
20999,Santa Cruz
21001,Belgrano
21002,Caseros
21003,Castellanos
21004,Constitución
21005,Garay
21006,General López
21007,General Obligado
21008,Iriondo
21009,La Capital
21011,Las Colonias
21012,Nueve de Julio
21013,Rosario
21016,San Cristóbal
21017,San Javier
21018,San Jerónimo
21019,San Justo
21020,San Lorenzo
21021,San Martín
21022,Vera
21999,Santa Fe
22001,Capital
22002,Avellaneda
22003,Aguirre
22004,Alberdi
22005,Atamisqui
22006,Banda
22007,Belgrano
22008,Copo
22009,Choya
22010,Figueroa
22011,Guasayán
22012,Jiménez
22013,Loreto
22014,Matara
22015,Mitre
22016,Moreno
22017,Ojo de Agua
22018,Pellegrini
22019,Quebrachos
22020,Rivadavia
22021,Robles
22022,Río Hondo
22023,Silipica
22024,San Martín
22025,Salavina
22026,Sarmiento
22027,Taboada
22999,Santiago del Estero
23001,Capital
23002,Lules
23003,Famaillá
23004,Monteros
23005,Chicligasta
23006,Río Chico
23007,Alberdi
23008,La Cocha
23009,Graneros
23010,Simoca
23011,Leales
23012,Cruz Alta
23013,Burruyacu
23014,Trancas
23015,Yerba Buena
23016,Tafí Viejo
23017,Tafí del Valle
23999,Tucumán
24001,Ushuaia
24002,Río Grande
24003,Antártida Argentina
24999,Tierra del Fuego
99999,País
